season,week,scheme,alpha,N,mad_point,mad_width,spearman_point,spearman_width
31,6,rank,0.4,80,0.03795758302675749,0.11540245145514402,0.32121212121212117,0.5030303030303029
31,6,rank,0.4,160,0.03854304466799409,0.15596385609135233,-0.05454545454545454,0.41818181818181815
31,6,rank,0.4,320,0.03958372983733875,0.16553963815579878,0.17575757575757575,0.34545454545454546
31,6,rank,0.7,80,0.03716840320186302,0.075191758698446,0.19999999999999998,0.33333333333333326
31,6,rank,0.7,160,0.035636463993774424,0.08651874534309555,0.5151515151515151,0.16363636363636364
31,6,rank,0.7,320,0.036924929473982585,0.10470269744494565,0.38181818181818183,-0.12727272727272726
31,6,rank,1.0,80,0.03793715154391637,0.10209411044849084,0.24848484848484845,0.5515151515151515
31,6,rank,1.0,160,0.03666660118181718,0.09554774500407637,0.06666666666666665,0.24848484848484845
31,6,rank,1.0,320,0.036104178800226906,0.06394772890442121,0.35757575757575755,0.6606060606060605
31,6,rank,1.5,80,0.03409318292219461,0.13639216364065412,0.2727272727272727,0.2606060606060606
31,6,rank,1.5,160,0.03377125168657024,0.14339810391397342,0.2727272727272727,0.04242424242424241
31,6,rank,1.5,320,0.033327916905459276,0.10654575287516628,0.406060606060606,0.16363636363636364
2,2,rank,0.4,80,0.04033640128862204,0.11276886068595582,0.5666666666666667,0.09999999999999999
2,2,rank,0.4,160,0.0390033762660095,0.13674471596882082,0.08333333333333334,-0.16666666666666669
2,2,rank,0.4,320,0.03632059373299612,0.18722021839915065,0.31666666666666665,0.21666666666666667
2,2,rank,0.7,80,0.03214455597299068,0.12071919435795575,0.5,-0.15
2,2,rank,0.7,160,0.0348716727895642,0.086824382772281,0.2333333333333333,0.08333333333333334
2,2,rank,0.7,320,0.03557714630954094,0.08359477183103459,-0.08333333333333334,0.21666666666666667
2,2,rank,1.0,80,0.037392645794032925,0.1179103937704148,0.15,0.25
2,2,rank,1.0,160,0.03565611476666557,0.12757154307219562,0.35,-0.016666666666666666
2,2,rank,1.0,320,0.03834881280979672,0.0990063221062698,-0.03333333333333333,0.016666666666666666
2,2,rank,1.5,80,0.031326775484655456,0.15466295803923158,0.2833333333333333,0.19999999999999998
2,2,rank,1.5,160,0.029957029683416854,0.12245493580717165,0.38333333333333336,0.18333333333333335
2,2,rank,1.5,320,0.03126217935343003,0.08874753874597771,0.25,0.65
14,10,percent,0.4,80,0.0,0.0,,
14,10,percent,0.4,160,0.0,0.0,,
14,10,percent,0.4,320,0.0,0.0,,
14,10,percent,0.7,80,0.0,0.0,,
14,10,percent,0.7,160,0.0,0.0,,
14,10,percent,0.7,320,0.0,0.0,,
14,10,percent,1.0,80,0.0,0.0,,
14,10,percent,1.0,160,0.0,0.0,,
14,10,percent,1.0,320,0.0,0.0,,
14,10,percent,1.5,80,0.0,0.0,,
14,10,percent,1.5,160,0.0,0.0,,
14,10,percent,1.5,320,0.0,0.0,,
31,9,rank,0.4,80,0.03789092173783435,0.17670420127928121,0.6571428571428573,-0.028571428571428574
31,9,rank,0.4,160,0.0420005032806558,0.1938579171926312,0.5428571428571429,0.14285714285714288
31,9,rank,0.4,320,0.03641657711334213,0.20892723836695257,0.7714285714285715,0.3142857142857143
31,9,rank,0.7,80,0.04110581822374181,0.09396417530654966,0.6,0.8857142857142858
31,9,rank,0.7,160,0.040216791427004,0.07419744481152514,0.5428571428571429,0.3714285714285715
31,9,rank,0.7,320,0.04419921986069114,0.11990669128541039,0.4285714285714286,0.8285714285714287
31,9,rank,1.0,80,0.019114834756697226,0.12506983247731876,0.942857142857143,0.08571428571428573
31,9,rank,1.0,160,0.04194724206428946,0.0817936173726237,0.6,0.48571428571428577
31,9,rank,1.0,320,0.0327926656466415,0.049833297366353335,0.7714285714285715,0.8285714285714287
31,9,rank,1.5,80,0.03446341283863631,0.2068802109693738,0.4285714285714286,0.028571428571428574
31,9,rank,1.5,160,0.033725418563522555,0.0751132340570292,0.7714285714285715,0.6571428571428573
31,9,rank,1.5,320,0.03151292878697764,0.13005395510665949,0.8857142857142858,-0.2571428571428572
15,9,percent,0.4,80,0.04143450015714657,0.0869907955512165,0.8720815992723809,0.8944271909999157
15,9,percent,0.4,160,0.03599275671929876,0.04421250252675339,0.9746794344808964,0.7826237921249264
15,9,percent,0.4,320,0.03587187083430049,0.032072954811891805,0.9746794344808964,0.8944271909999157
15,9,percent,0.7,80,0.033081500650178855,0.14430018102893466,0.9746794344808964,0.8944271909999157
15,9,percent,0.7,160,0.03189926878038593,0.11891502250358607,0.9746794344808964,0.8944271909999157
15,9,percent,0.7,320,0.02047458262411858,0.10613578242639395,0.6668859288553501,0.8944271909999157
15,9,percent,1.0,80,0.007838391763587258,0.15863118284887456,0.9746794344808964,0.8944271909999157
15,9,percent,1.0,160,0.00862745121313041,0.21001983897740617,0.6668859288553501,0.8944271909999157
15,9,percent,1.0,320,0.006482980006679703,0.16610834557351473,0.9746794344808964,0.7826237921249264
15,9,percent,1.5,80,0.012227726679360978,0.2624153677255393,0.9746794344808964,0.8944271909999157
15,9,percent,1.5,160,0.006489407482647818,0.23138333130823802,0.7181848464596079,0.8944271909999157
15,9,percent,1.5,320,0.009179518357626457,0.2083127719776634,0.8207826816681233,0.8944271909999157
31,10,rank,0.4,80,0.0,0.0,,
31,10,rank,0.4,160,0.0,0.0,,
31,10,rank,0.4,320,0.0,0.0,,
31,10,rank,0.7,80,0.0,0.0,,
31,10,rank,0.7,160,0.0,0.0,,
31,10,rank,0.7,320,0.0,0.0,,
31,10,rank,1.0,80,0.0,0.0,,
